Rank,Channel name,Network,"Views
(billions)","Content
category",Country,Primary language(s)
1,T-Series,T-Series,209.23,Music,India,Hindi
2,Cocomelon - Nursery Rhymes,Moonbug Entertainment,145.78,Education,United States,English
3,SET India,Culver Max Entertainment,135.15,Entertainment,India,Hindi
4,Sony SAB,Culver Max Entertainment,89.06,Entertainment,India,Hindi
5,Like Nastya,Yoola,85.99,Entertainment,Russia,Russian and English
6,Kids Diana Show,AIR,85.08,Entertainment,Ukraine,English
7,WWE,WWE,72.84,Sports,United States,English
8,Vlad and Niki,—,71.16,Entertainment,United States,English
9,Movieclips,Rotten Tomatoes Movieclips,59.5,Film,United States,English
10,Colors TV,Viacom18,56.54,Entertainment,India,Hindi
11,Ryan's World,PocketWatch,53.22,Entertainment,United States,English
12,netd müzik,netd.com,52.73,Music,Turkey,Turkish
13,El Reino Infantil,Leader Music,52.65,Music,Argentina,Spanish
14,Zee Music Company,Zee Entertainment Enterprises,52.38,Music,India,Hindi
15,ABS-CBN Entertainment,ABS-CBN,49.04,Entertainment,Philippines,Filipino and English
16,Toys and Colors,—,43.56,Entertainment,United States,English
17,ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV,41.26,Education,India,Hindi and English
18,Super Simple Songs - Kids Songs,—,40.04,Education,Canada,English
19,Wave Music,N/A,38.43,Music,India,Bhojpuri
20,Little Baby Bum - Nursery Rhymes & Kids Songs,—,38.29,Education,United Kingdom,English
21,KondZilla,ONErpm,37.01,Music,Brazil,Portuguese
22,Pinkfong Baby Shark - Kids' Songs & Stories,The Pinkfong Company,34.96,Education,United States,English
23,WorkpointOfficial,Workpoint Entertainment,34.84,Entertainment,Thailand,Thai
24,Маша и Медведь,LetsonCorp,34.1,Film,Russia,Russian
25,ARY Digital HD,ARY Digital Network,31.02,Entertainment,Pakistan,Urdu
26,YRF,YRF,31,Music,India,Hindi
27,Har Pal Geo,Geo Entertainment,30.74,Entertainment,Pakistan,Urdu
28,LooLoo Kids - Nursery Rhymes and Children's Songs,—,30.42,Music,Romania,English
29,Tips Official,Tips Industries,30.02,Entertainment,India,Hindi
30,Zee TV,Zee Entertainment Enterprises,29.67,Entertainment,India,Hindi
31,Shemaroo Filmi Gaane,Shemaroo Music,29.63,Music,India,Hindi
32,Justin Bieber,—,29.35,Music,Canada,English
33,LankyBox,,29.32,Gaming,United States,English
34,Get Movies,LetsonCorp,28.81,Entertainment,Russia,Russian
35,PewDiePie,re6l,28.79,Entertainment,Sweden,English
36,Ed Sheeran,—,28.72,Music,United Kingdom,English
37,BLACKPINK,YG Entertainment,28.21,Music,South Korea,Korean
38,GMA Network,GMA Network,27.43,Entertainment,Philippines,Filipino and English
39,Taylor Swift,—,27.32,Music,United States,English
40,Bad Bunny,—,27.3,Music,Puerto Rico,Spanish
41,Infobells - Hindi,Infobelle Interactive Solution,27.23,Education,India,Hindi
42,One 31,GMM Grammy,26.81,News,Thailand,Thai
43,Sony Music India,Culver Max Entertainment,26.69,Music,India,Hindi
44,قناة طيور الجنة | toyoraljanahtv,—,26.48,Music,Jordan,Arabic
45,T-Series Bhakti Sagar,—,26.45,Music,India,Hindi
46,D Billions,,26.18,Music,Kyrgyzstan,English
47,DisneyMusicVevo,The Walt Disney Company,26.13,Music,United States,
48,SMTOWN,SM Entertainment,26,Music,South Korea,Korean
49,HYBE LABELS,Hybe Corporation,25.8,Music,South Korea,Korean
50,JustinBieberVEVO,Vevo,25.8,Music,Canada,English